time,flux
120.5397940620678,1000228.5976454443
120.56022845695406,1000001.9999794003
120.58066275172314,999690.4331885382
120.60109724637005,1000259.4973271777
120.62153164102348,1000111.9988464118
120.6419659354433,999834.4917047354
120.6624003298566,999883.5411995256
120.68283482416156,1000093.1990400499
120.70326911834854,1000094.99902151
120.7237035124126,999718.082903746
120.7441380063683,999907.8609490321
120.76457230020604,1000067.3993057872
120.78500669403728,1000169.0982582878
120.80544108764298,999991.4000885792
120.82587548124866,999996.1000401694
120.84630987473064,999756.7125058612
120.8667442681035,999902.6210030037
120.8871787613607,1000300.6969028219
120.90761305449269,1000214.3977917026
120.92804744751628,1000155.5983973364
120.94848194041695,1000054.899434536
120.9689162333234,1000047.5995097251
120.98935062599776,1000299.1969182717
121.00978491867136,1000335.1965474756
121.0302194112228,999998.2000185399
121.05065380366432,999719.9328846913
121.19369454783008,999883.9011958176
121.21412883944868,1000170.6982418081
121.23456333095965,1000135.3986053944
121.25499772235344,999727.502806721
121.27543201362278,1000081.0991646787
121.29586640478374,999648.4036214427
121.31630089582904,999813.0319257712
121.33673528686631,999974.0802669732
121.35716957767728,999989.7001060889
121.37760406848976,1000060.6993747962
121.39803845917776,999965.8603516384
121.41847274975588,999917.1608532432
121.43890714021836,999752.8925452068
121.4593416305579,999882.0512148725
121.47977592078678,999570.6844219504
121.5002103109,999979.4502116628
121.52064470088952,999978.3202233016
121.5410791908871,1000043.2995540145
121.5615135807675,999664.9734507734
121.58194787040702,999790.0821621537
121.60238236005534,999761.9524518898
121.62281674958648,999827.0417814696
121.64325103899318,999865.7813824516
121.6636854282915,999906.430963761
121.68411991747416,999661.2234893981
121.7045542065316,999822.5718275101
121.72498859548068,999981.0601950799
121.74542308443051,999850.1115438511
121.76585737313872,999776.2023051162
121.78629176185495,1000325.3966484144
121.80672615033836,1000133.5986239341
121.8271605388145,1000149.3984611958
121.84759492718148,999743.7726391419
121.86802931531564,1000113.5988299319
121.88846370344254,999760.9424622925
121.90889809146029,999970.3903049798
121.92933247947803,999610.2640142806
121.94976676725491,1000241.8975084557
121.97020125492418,999851.6015285042
121.99063564247626,999553.8745950916
122.0110699300276,999914.1808839369
122.03150441734032,1000080.1991739485
122.0519388046596,1000424.6956256351
122.07237319185516,1000090.1990709497
122.0928074788244,999915.910866118
122.11324196579515,1000272.1971963688
122.13367635264149,1000103.0989380811
122.1541106393779,1000110.0988659817
122.17454512599944,999998.8000123599
122.1949795124965,1000324.0966618044
122.21541379888367,1000146.6984890056
122.2358481852716,999978.9702166067
122.2562826714202,1000262.7972931879
122.27671695745812,1000186.3980800998
122.2971513434968,999772.0823475518
122.31758582929616,999962.4603866581
122.33802011510124,999906.8509594351
122.35845450067428,999729.1727895202
122.37888888624002,999713.9729460785
122.3993233716974,999751.4025605536
122.41975765703684,1000158.5983664368
122.44019204225332,999979.4502116628
122.46062652736146,999968.4203252706
122.48106081235164,999883.7811970537
122.5014951972189,999770.4723641346
122.52192948197626,1000012.0998753712
122.54236396661872,999956.0204529893
122.56279835125316,1000095.8990122401
122.58323273566202,999991.2000906391
122.60366711995448,999812.6119300971
122.62410150423966,999909.6509305954
122.64453588829927,1000262.5972952477
122.66497017235815,1000145.5985003354
122.68540465617843,1000252.7973961867
122.70583904000524,1000317.8967256637
122.72627332371484,1000160.498346867
122.7467078073023,999941.1806058397
122.76714219066344,1000018.2998115119
122.7875764740238,1000323.5966669543
122.80801085726124,1000088.9990833096
122.82844534039032,999836.4616844446
122.8488797234022,1000367.396215819
122.8693141062904,1000025.1997404428
122.88974848906946,1000211.4978215724
122.91018287184852,1000215.997775223
122.93061725438749,1000333.4965649853
122.95105153681652,1000008.399913481
122.97148601913068,1000289.3970192106
122.9919204014368,1000347.996415637
123.0123546835166,1000091.6990554997
123.03278916548152,1000020.1997919423
123.0532235474384,1000000.29999691
123.07365792916973,1000128.4986764636
123.09409221090029,1000081.6991584987
123.11452669250866,999586.064263538
123.13496107389074,999973.4302736681
123.15539535527203,1000039.8995890343
123.17582983641478,999958.7104252826
123.19626421756402,1000035.4996343539
123.21669849859607,1000019.699797092
123.2371328795125,1000253.697386917
123.25756736030598,1000504.5948026734
123.2780016408724,999845.3415929817
123.3188705018838,1000101.3989555907
123.33930478221735,1000360.7962837982
123.35973916243528,999934.860670935
123.38017354252952,999838.3016654928
123.40060802251536,999842.2416249113
123.421042302376,999990.3000999088
123.44147668224468,1000049.4994901553
123.46191116188128,999753.5525384088
123.48234544139996,1000038.6996013941
123.5027798207957,1000429.5955751655
123.52321410008152,999967.5903338195
123.5436485792452,999669.6834022609
123.56408295841538,1000373.3961540195
123.58451733735274,999940.6506112986
123.60495171617367,1000193.4980069704
123.62538609498732,1000114.9988155123
123.64582047357544,999982.5501797332
123.66625475204636,1000203.3979050015
123.68668923051156,1000116.2988021224
123.7071236087504,1000151.598438536
123.72755788687208,999936.1806573392
123.74799236498802,1000123.198731053
123.76842674287764,1000036.4996240538
123.78886102076648,1000184.3981006995
123.809295398416,999941.8405990418
123.82972987607354,999790.9821528839
123.85016415349672,999769.1023782454
123.8705985309134,999862.2714186043
123.8910330081053,999983.6801680942
123.91146738528914,999797.1820890245
123.93190166224667,1000006.3999340807
123.95233603920497,999584.5742788849
123.97277051592393,1000122.498738263
123.9932047926486,1000066.199318147
124.01363916914124,999873.4713032455
124.03407364562736,1000207.297864832
124.0545079220028,999768.3923855583
124.0749422981462,999817.8618760227
124.09537667428958,1000029.9996910031
124.11581105019286,1000043.2995540145
124.1362454261034,1000029.7996930631
124.15667980189028,1000740.6923708686
124.17711427745236,1000272.4971932789
124.1975485530129,999894.4510871537
124.2179829284578,999855.4114892617
124.23841730366256,999674.5733518944
124.25885167887463,1000012.2998733114
124.2792860538466,999848.3815616699
124.29972042882582,1000040.9995777042
124.3201549036894,999978.7302190787
124.34058917831862,1000327.3966278147
124.36102355294132,1000051.6994674955
124.38145792733847,999980.9401963159
124.40189230172837,1000215.4977803727
