time,flux
120.53900742435508,1.0000801
120.55944174409524,0.99997437
120.57987596383464,1.000085
120.60031038356829,0.9998253
120.62074470325024,1.0000035
120.64117892293143,0.99993354
120.66161324260611,0.99991506
120.68204766223062,0.99997467
120.7024818818536,1.0000194
120.72291620152828,0.9998948
120.74335062109458,1.0000279
120.76378484071756,0.9998333
120.78421916027582,0.9999981
120.80465347984136,0.9999618
120.8250877993487,0.99993783
120.84552211890696,0.9999961
120.86595643841429,1.0000057
120.88639085792238,0.9999976
120.90682507742167,1.0000174
120.9272593968708,0.9999844
120.9476938163134,0.9999758
120.96812803576177,0.99998367
120.98856235515268,1.0000426
121.00899657454283,0.99997306
121.02943099392724,1.000025
121.04986531331815,1.0001057
121.07029963265086,1.000098
121.09073395197629,1.000039
121.111168271309,1.0000396
121.1316025905835,1.0000112
121.15203680990817,0.9998977
121.17247122912522,1.000073
121.19290554839972,1.000034
121.21333976760798,1.0001194
121.23377418682503,0.9999983
121.25420850604132,1.0000082
121.27464272519137,1.0000944
121.29507704440766,1.0001287
121.3155114635083,1.000099
121.33594578265911,1.0001386
121.35638000175823,1.0000484
121.37681442085886,1.0000643
121.39724873989326,1.0001395
121.41768295899237,0.9999889
121.43811727797583,1.0001465
121.45855169701099,1.0000844
121.4789859160519,0.9999925
121.49942023503536,1.0001584
121.51985455395334,1.0000162
121.54028897293756,1.0000706
121.56072329186281,1.0000275
121.58115751072182,1.0001127
121.60159192964784,1.0001726
121.62202624851489,1.0000798
121.64246046731569,1.0000902
121.66289478618273,1.0000807
121.68332920499233,1.000134
121.70376342379313,1.0000248
121.72419774254377,1.0000675
121.74463216129516,1.0000807
121.76506638003775,1.0000192
121.78550069878838,1.0000052
121.8059350174226,1.0000426
121.82636933610775,1.0000352
121.84680365480017,1.0001596
121.86723797343438,1.0001569
121.88767229206132,1.0001247
121.90810661063733,1.0000607
121.92854092921334,1.000154
121.94897514778131,1.0000696
121.96940956629987,1.0000463
121.98984388481767,1.0001218
122.01027810333471,1.0000093
122.03071252178779,0.9998732
122.05114684024738,1.0000898
122.0715811586997,0.999967
122.09201537710032,0.99994916
122.11244979550247,0.99997187
122.13288411383837,0.9999715
122.15331833218079,1.0000287
122.17375275052473,0.99993324
122.19418706886063,0.9999527
122.21462128714484,0.99994165
122.2350556053716,0.9999578
122.25549002365005,0.9999219
122.27592424187606,1.0000371
122.29635856004461,0.9999782
122.31679297820665,0.9999867
122.33722719637444,0.999911
122.357661514543,0.9999858
122.37809583264607,1.0000881
122.39853025075718,0.99996555
122.41896446880855,0.9999804
122.43939878685342,0.99991465
122.45983320490632,0.99988383
122.48026742289949,1.0000036
122.50070174088614,0.99989265
122.5211359588211,0.9999132
122.54157037675759,0.99993306
122.56200469468604,0.9998784
122.58243901256355,0.99994653
